year,month,nino3,nino3.4,nino4,Arabian_Sea,equatorialindianocean,bayofbengal
1986,12,25.99195111177347,27.544647450980392,28.807639938416422,26.98250457880435,28.440939092727273,27.556740455516014
1987,1,26.680137126676602,27.7240975026738,28.64978455718475,26.05025589673913,28.319292025454544,27.013473601423485
1987,2,27.361890467958272,27.891604452762923,28.674161343108505,26.221078380434783,28.644769163636365,27.294889640569398
1987,3,28.183388520119223,28.44855114438503,28.96213663636364,27.339085103260867,29.360553689090906,28.402461138790038
1987,4,28.451346061102832,28.602247664884136,28.90913204692082,28.737964095108698,29.91453389090909,29.49012919928826
1987,5,28.18730469299553,28.74492898395722,29.19566214076246,29.997374578804347,29.90315311818182,30.08978621708185
1987,6,27.616044022354693,28.885452128342244,29.513467516129033,29.113652171195653,29.116575085454546,29.514988825622773
1987,7,27.017474734724296,28.545969354723706,29.547218120234604,28.026120853260867,28.725523401818183,29.172623498220638
1987,8,26.524279497764528,28.346097946524065,29.477651181818185,27.471008554347826,28.585865625454545,28.91224718505338
1987,9,26.623133459016394,28.277852065953653,29.414846563049853,28.01373795923913,28.748181569090907,29.142756256227756
1987,10,26.257333581222056,28.090022959001782,29.43531682111437,28.87469228804348,28.75059779090909,29.275637199288255
1987,11,26.250329298062592,27.95208659714795,29.30895701466276,28.418546138586954,28.79289548,28.9467771886121
1987,12,26.327276193740687,27.64336642067736,28.94847326392962,27.457420380434783,28.682917516363634,28.093536903914593
1988,1,26.2066260804769,27.2748423885918,28.488809961876836,26.773051154891302,28.721073163636362,27.597033451957298
1988,2,26.513230701937406,27.115339311942957,28.063308120234602,26.726551494565218,28.970782438181818,28.019599772241992
1988,3,27.27082362444113,27.55329340641711,28.139152428152496,27.778402978260868,29.546745509090908,29.096102270462634
1988,4,26.828083451564826,27.292151247771834,27.848578120234603,29.119884673913045,30.02370101090909,29.967023405693954
1988,5,25.918209916542473,26.845464618538326,27.75874839002933,29.962620885869566,29.565287523636364,30.218373875444836
1988,6,24.77629655737705,26.271143003565065,27.484755563049855,29.101568111413044,28.93229921636364,29.621828786476865
1988,7,24.019914916542472,25.739607622103385,27.27846084164223,27.975242255434786,28.601307172727275,29.175543017793593
1988,8,23.64805628614009,25.497147442067735,27.170406296187682,27.277521701086954,28.455981983636367,28.952607195729538
1988,9,23.690923812220564,25.472734440285205,27.10946571260997,27.573639524456524,28.449887558181818,29.098254039145907
1988,10,23.28091897466468,24.730506606060608,26.33776497067449,28.25582354076087,28.457367889090907,28.9660816227758
1988,11,23.36784487481371,24.563653147950088,26.182055442815248,28.009843334239132,28.36399918727273,28.312018836298932
1988,12,23.594779043219077,24.675563538324422,26.054711777126098,27.02939850543478,28.30794440909091,27.202688953736654
1989,1,24.348220897168403,24.694159559714794,25.74050237829912,26.05841888315217,27.966388305454547,26.693305829181497
1989,2,25.640258649776452,25.428146675579324,26.001217609970674,26.097350347826087,28.200405094545456,26.96065831316726
1989,3,26.13504069448584,25.972348643493763,26.3486592228739,27.13830327173913,28.773688365454547,28.029778950177935
1989,4,26.682675928464977,26.682150575757575,26.995979730205278,28.343823361413047,29.364391225454543,29.137893889679713
1989,5,26.393513555886738,27.099700563279857,27.5986521085044,29.326612451086955,29.244979705454544,29.552042081850537
1989,6,26.13472798956781,27.08641492869875,27.57561313782991,28.44281233695652,28.501559134545452,28.97821807117438
1989,7,25.459506402384502,26.809525825311944,27.75917179765396,27.307021885869567,28.183078272727272,28.582520854092525
1989,8,24.652163907600595,26.34493698395722,27.604009392961878,26.700756032608698,27.985606405454543,28.40805174733096
1989,9,24.72918589418778,26.415369857397504,27.777924087976537,27.335655489130435,28.251441947272728,28.7318892455516
1989,10,24.71561421609538,26.393494263814617,27.78615118181818,28.36934059782609,28.359945267272728,28.825202544483986
1989,11,24.800004657228016,26.41920621033868,27.807704111436948,28.081390698369567,28.537119307272725,28.547880462633454
1989,12,24.92864184500745,26.486801871657754,27.926829266862168,27.129794220108696,28.426524372727272,27.345645377224198
1990,1,25.415160950819672,26.607041677361856,27.918238146627566,26.345617353260867,28.381986790909092,27.03500350177936
1990,2,26.55115255290611,27.111577750445633,28.07341516129032,26.730789760869563,28.91117753090909,27.700300693950176
1990,3,27.05567876751118,27.45314311942959,28.233363961876833,27.52426702173913,29.349061701818183,28.716960512455515
1990,4,27.67158949329359,28.0112820285205,28.423558363636364,28.81158838858696,29.76911480909091,29.520592839857656
1990,5,27.383385715350222,28.18684308912656,28.74959381818182,29.640322084239127,29.524491881818182,29.892109594306046
1990,6,26.571106602086438,27.715544098039214,28.475405747800586,28.566592975543475,28.78048199090909,29.198152822064056
1990,7,25.66050893740686,27.40796019607843,28.644629662756596,27.438039279891303,28.52854132363636,28.710299366548043
1990,8,25.164811350223545,27.094987515151512,28.603645398826977,26.786453951086955,28.29223004909091,28.516582747330958
1990,9,25.170964952309987,26.922884901960785,28.484473387096774,27.249202092391304,28.266431636363635,28.54284534519573
1990,10,25.022103673621462,26.911466352941176,28.554437677419354,28.254812861413043,28.448149605454546,28.79172153380783
1990,11,25.013343041728763,26.77554174509804,28.451657835777123,27.83859497554348,28.498447521818182,28.375384142348757
1990,12,25.255688183308497,26.90991232620321,28.56086917595308,27.04787039945652,28.616895572727273,27.585069814946618
1991,1,25.869670962742173,27.08757696969697,28.416586278592373,26.234690567934784,28.537379616363637,27.049383291814944
1991,2,26.462089405365123,27.087975292335113,28.131619736070384,26.289132328804346,28.730091707272727,27.277388612099646
1991,3,27.185033575260803,27.381228859180034,28.104300926686218,27.286093062499997,29.345113463636366,28.374095024911032
1991,4,27.469348113263784,27.99182226559715,28.631391780058653,28.90610707880435,30.037572380000004,29.560890857651245
1991,5,27.532904797317435,28.30313552941176,28.991428964809383,29.818698994565217,29.81569350181818,29.95695178291815
1991,6,27.217960505216098,28.34307446345811,29.073144120234605,28.9030707798913,29.140139456363638,29.399182765124557
