year,month,Average Rainfall,nino3,nino3.4,nino4,Arabian_Sea,equatorialindianocean,bayofbengal,SPI_1,Drought_Category,Drought_Category_Encoded
1927,10,0.1418327056612903,25.16643581967213,27.014348422459893,28.256142982404693,27.66880933423913,27.83976477090909,28.538513444839857,0.16371512108273345,No drought,1
1927,11,0.03362288125,25.01818296125186,26.627317903743315,27.97116665102639,27.484038722826085,27.863922487272728,27.985765113879005,-0.4199381557664745,Mild drought,2
1927,12,0.627339832832258,25.21448906557377,26.841009499108736,28.19270846041056,26.54452068206521,27.845745054545453,27.22025498220641,3.601388029329595,No drought,1
1928,1,0.0356466078645161,25.80904670938897,27.03771903743316,28.18632796187683,26.108042434782607,27.87399005454545,26.87811423843416,-0.7073872768873601,Mild drought,2
1928,2,0.0466255247844827,26.43921649329359,26.966650620320856,27.846039709677417,25.902661698369567,28.29537407818182,27.38095640213523,-0.5678429694070052,Mild drought,2
1928,3,0.0487303568548387,26.977443973174363,27.01794090730838,27.692965815249263,27.042766779891306,28.788802023636364,28.06749549466192,-0.4356792890593624,Mild drought,2
1928,4,0.0331907270833333,27.202016812220567,27.544825067736184,28.100777765395897,28.45995549728261,29.040827501818185,29.222547658362988,-0.7715772520370536,Mild drought,2
1928,5,0.08188825504193539,26.84572527123696,27.81290281818182,28.55372582111437,29.62416035869565,29.05994778,29.716459056939502,-0.7694845472212789,Mild drought,2
1928,6,0.3722530281466667,25.99448977645305,27.41550699821747,28.384512803519065,28.66897670923913,28.39788995090909,28.902532448398578,-0.7305097880837381,Mild drought,2
1928,7,3.0366180978290314,25.450093052160955,27.2462452798574,28.370411668621703,27.20934923369565,27.728614798181816,28.505412793594303,0.1711102808773523,No drought,1
1928,8,5.094241747403226,24.75555722503726,26.63180353654189,28.04194369794721,26.393007445652174,27.57912464,28.03717723131673,0.8949878140873494,No drought,1
1928,9,0.93570317206,24.82842072876304,26.66656854723708,27.95786838416422,26.85283660054348,27.750077198181817,28.394284491103203,0.03435757782054905,No drought,1
1928,10,0.4330945483870968,24.784984831594635,26.646057914438504,27.943802384164226,27.71620992119565,27.650782938181816,28.387716804270465,1.1269602254062432,No drought,1
1928,11,0.186198448975,24.691139089418776,26.50895092513369,28.01144437536657,27.65545408423913,27.992466845454548,28.17839938078292,1.2730309208319808,No drought,1
1928,12,0.03,25.057368184798804,26.563066219251336,27.6190519882698,26.537007059782606,27.84156095272727,27.271979943060497,-0.5602438005461869,Mild drought,2
1929,1,0.11454430141935479,25.34544981371088,26.43241451158645,27.392148565982403,25.85837775,27.729696896363635,27.006995644128114,0.22521503120678232,No drought,1
1929,2,0.03,26.329928165424736,26.687243404634582,27.37008129912024,25.771327478260872,27.89282696,27.16662277580071,-0.8176399950515535,Mild drought,2
1929,3,0.03,27.03018492101341,27.108349071301248,27.633400521994137,26.99120964402174,28.477738707272728,28.146660839857653,-0.7410204976065166,Mild drought,2
1929,4,0.057183790625,27.61763722056632,27.61204779322638,27.955812545454545,28.49313360597826,29.22479649818182,29.20218187900356,-0.4411991431072861,Mild drought,2
1929,5,0.32774123996129034,27.109822345752605,27.695571326203208,28.1804212170088,29.348463679347827,28.79109423090909,29.699481555160144,0.1935509554314707,No drought,1
1929,6,0.44176680002333335,26.646804251862893,27.800766139037435,28.5156626627566,28.498898956521742,28.229500950909088,28.7263036227758,-0.5866239439273592,Mild drought,2
1929,7,4.130266068904838,25.56488578390461,27.21215991622104,28.43843065689149,27.11499798369565,27.849682798181817,28.145813224199287,0.61605188162385,No drought,1
1929,8,3.5484221131290314,25.174534812220568,27.006493352941177,28.23260548973608,26.20471249728261,27.503290114545457,27.866196886121,0.3904977976665851,No drought,1
1929,9,0.22494038021666662,25.41041828017884,27.08313993939393,28.318779627565984,26.852665861413044,27.687299103636363,28.24680287544484,-0.8933743577768014,Mild drought,2
1929,10,0.0593252298387096,25.31260594783905,27.15576667557932,28.453816736070383,27.854080744565216,27.846667987272728,28.31585808896797,-0.3866241163285535,Mild drought,2
1929,11,0.03,25.220220359165424,26.864421270944742,28.2594843372434,27.52025869293478,27.85656733636364,28.10752127758008,-0.5039753172388791,Mild drought,2
1929,12,0.10297281249354838,25.64991773472429,27.22360520320856,28.51905555131965,26.91056371195652,28.068446667272728,27.146384950177936,0.6097564995275675,No drought,1
1930,1,0.0656813306483871,25.66189845007452,26.92947129946524,28.23096184750733,25.811920758152176,27.80640519818182,26.97858645195729,-0.2582096289237593,Mild drought,2
1930,2,0.0351505200892857,26.370064345752606,27.136540475935828,28.195665360703813,25.70438590760869,28.149347369090908,27.39021226690392,-0.730847968277695,Mild drought,2
1930,3,0.03,27.17626313263785,27.542377491978613,28.34936728445748,26.775443494565216,28.78186621272727,28.12652698932385,-0.7410204976065166,Mild drought,2
1930,4,0.059095570833333305,27.82172451266766,28.152246427807487,28.683199442815248,28.295422491847827,29.53898435454545,29.42467855160142,-0.4197306029917265,Mild drought,2
1930,5,0.5918708205774194,27.02537738002981,27.80431742245989,28.44518684457478,29.09850535869565,28.898315596363634,29.615783316725977,0.7432261894418062,No drought,1
1930,6,1.573613818965,26.74925515797317,27.93991728520499,28.64871382697947,28.44848742934783,28.331954901818182,28.80714458007117,0.7465432741107138,No drought,1
1930,7,1.6267940040838709,26.464129472429207,27.876597595365418,28.77992918475073,26.92872926358696,27.84295675818182,28.282457519572954,-0.6064867365712919,Mild drought,2
1930,8,1.679928821783871,26.03803496870343,27.576719520499108,28.51355740762463,26.41918170108696,27.638490832727275,28.1131550569395,-0.47977506072336423,Mild drought,2
1930,9,0.30882635731666663,26.29587274515648,28.04187196969697,29.06216938123167,26.853973448369565,27.667593045454545,28.193965017793595,-0.7151000469780877,Mild drought,2
1930,10,0.22724083368064513,26.396473575260806,27.884423039215683,28.92553076539589,28.16490322554348,27.951170694545453,28.585458370106764,0.5264971998402468,No drought,1
1930,11,0.030153100000000002,26.85846080774963,28.428788994652407,29.455362472140763,27.70896458695652,28.13454442727273,28.158904928825624,-0.5002782988458708,Mild drought,2
1930,12,0.03,26.77315865424739,27.9826644456328,28.78411352785924,26.797382972826085,27.992300125454545,27.295014782918148,-0.5602438005461869,Mild drought,2
1931,1,0.03,27.21256420119225,28.03211200891266,28.76875176539589,26.139102206521738,28.07891694909091,27.050559985765123,-0.821697121928032,Mild drought,2
1931,2,0.09656219643035709,27.572887895678093,28.073752978609622,28.84505004985337,26.21773835326087,28.522119027272726,27.32593659430605,-0.08887207676405551,Mild drought,2
1931,3,0.0416995998,28.27589678539493,28.40676692156863,28.629904700879766,27.24625326902174,29.053682205454542,28.47958650533808,-0.5378734422399545,Mild drought,2
1931,4,0.03,28.37467500149032,28.690905377896613,28.9111878797654,28.739623945652173,29.609781927272728,29.681846370106765,-0.8283366805616962,Mild drought,2
1931,5,0.6534642308870968,27.47350846646796,28.466770274509805,29.0863356627566,30.109302616847824,29.371900874545453,30.181890469750886,0.8466796661985732,No drought,1
1931,6,0.48769837190000004,26.6607280685544,28.14590329946524,29.11827565102639,29.1613170027174,28.704746332727275,29.141533177935944,-0.5003462558806684,Mild drought,2
1931,7,1.6232234740193547,26.00018427123696,27.63965658823529,28.82492290615836,27.771576173913044,28.22996686727273,28.650423416370103,-0.608971360421972,Mild drought,2
1931,8,8.223311308658063,24.969476032786886,27.043499226381464,28.58801471554252,26.72565444565217,27.774945234545456,28.247375640569395,1.6728510164532568,No drought,1
1931,9,0.09856163751666658,24.543387116244407,26.36847999821747,27.82282766568915,26.923860214673912,27.629801087272728,28.3652576227758,-1.3046900513286457,Moderate drought,3
1931,10,0.5692209828774194,24.98337772876304,26.555497887700533,27.83847327272727,27.888780334239133,27.83194205454545,28.355512548042704,1.42767135084826,No drought,1
1931,11,0.03,24.65867699254844,26.41224114616756,27.99886990322581,27.691930092391303,28.13233636727273,28.100461629893235,-0.5039753172388791,Mild drought,2
1931,12,0.0328324576612903,24.87363091356185,26.31516640106952,27.543475,26.445026160326087,27.70921374909091,27.2475348113879,-0.4885050264658026,Mild drought,2
1932,1,0.03,25.444062609538005,26.16211902139037,27.1791963313783,25.788970461956524,27.62156942727273,26.664170548042705,-0.821697121928032,Mild drought,2
1932,2,0.0342867661655172,26.392982405365125,26.558036037433155,27.331099950146623,25.833628040760868,27.78384077636364,27.16957481850533,-0.7446865462052612,Mild drought,2
