Year,Month,Average Rainfall
2010,8,3.3225806451612905
2010,9,6.15
2010,10,0.0
2010,11,0.5333333333333333
2010,12,0.45161290322580644
2011,1,0.0
2011,2,0.5714285714285714
2011,3,0.0
2011,4,0.0
2011,5,0.0
2011,6,0.0
2011,7,1.5806451612903225
2011,8,5.5741935238387095
2011,9,2.5399999936666666
2011,10,0.0
2011,11,0.0
2011,12,0.0
2012,1,0.0
2012,2,0.0
2012,3,0.0
2012,4,0.9199999968333333
2012,5,0.17419355145161292
2012,6,0.3333333333333333
2012,7,0.6129032258064516
2012,8,8.96774193548387
2012,9,4.666666666666667
2012,10,0.0
2012,11,0.0
2012,12,0.0
2013,1,1.0
2013,2,0.7142857142857143
2013,3,0.03225806451612903
2013,4,0.0
2013,5,0.0967741935483871
2013,6,1.6666666666666667
2013,7,4.2032257628064515
2013,8,5.548387096774194
2013,9,5.533333333333333
2013,10,0.06451612903225806
2013,11,0.0
2013,12,0.0
2014,1,0.0
2014,2,0.0
2014,3,0.0
2014,4,0.2
2014,5,0.5806451612903226
2014,6,0.3
2014,7,2.8709677496451613
2014,8,3.096774193548387
2014,9,4.633333333333334
2014,10,0.0
2014,11,0.0
2014,12,0.0
2015,1,0.0
2015,2,0.0
2015,3,0.3387096774193548
2015,4,0.0
2015,5,0.45161290322580644
2015,6,3.433333333333333
2015,7,4.935483870967742
2015,8,2.806451612903226
2015,9,0.5666666666666667
2015,10,0.0
2015,11,0.0
2015,12,0.0
2016,1,0.0
2016,2,0.06896551724137931
2016,3,0.0
2016,4,0.0
2016,5,0.0
2016,6,1.8666666666666667
2016,7,2.6451612903225805
2016,8,11.451612903225806
2016,9,0.1
2016,10,1.032258064516129
2016,11,0.0
2016,12,0.0
2017,1,0.5806451612903226
2017,2,0.0
2017,3,0.7419354838709677
2017,4,0.0
2017,5,1.8064516129032258
2017,6,2.6
2017,7,6.967741935483871
2017,8,1.596774193548387
2017,9,1.0
2017,10,0.0
2017,11,0.0
2017,12,0.0
2018,1,0.5806451612903226
2018,2,0.0
2018,3,0.7419354838709677
2018,4,0.0
2018,5,1.8064516129032258
2018,6,2.4833333333333334
2018,7,3.4516129032258065
2018,8,1.064516129032258
2018,9,1.0666666666666667
2018,10,0.0
2018,11,0.0
2018,12,0.0
2019,1,0.03225806451612903
2019,2,0.0
2019,3,0.0
2019,4,0.0
2019,5,1.3064516129032258
2019,6,1.4
2019,7,6.564516129032258
2019,8,6.741935483870968
2019,9,1.35
2019,10,0.14516129032258066
2019,11,0.03333333333333333
2019,12,0.0
2020,1,0.03225806451612903
2020,2,0.0
2020,3,0.45161290322580644
2020,4,0.26666666666666666
2020,5,0.7419354838709677
2020,6,0.6399999936333334
2020,7,2.0258064577741934
2020,8,3.1548387158387095
2020,9,3.6333333333333333
2020,10,0.9032258064516129
2020,11,0.0
2020,12,0.0
2021,1,0.0
2021,2,0.0
2021,3,0.0
2021,4,0.0
2021,5,1.5354838449032258
2021,6,0.9733333349333333
2021,7,0.8709677419354839
2021,8,0.8387096774193549
2021,9,2.533333333333333
2021,10,0.0967741935483871
2021,11,0.0
2021,12,0.14516129032258066
2022,1,0.6290322580645161
2022,2,0.0
2022,3,0.0
2022,4,0.0
2022,5,0.0
2022,6,0.4
2022,7,13.370967741935484
2022,8,6.74838709832258
2022,9,0.03333333333333333
2022,10,0.0
2022,11,0.0
2022,12,0.0
2023,1,0.23548386941935484
2023,2,0.0
2023,3,0.32903225193548385
2023,4,0.4
2023,5,1.903225806451613
2023,6,5.606666692
2023,7,4.919354838709677
2023,8,0.06451612903225806
2023,10,0.41935483870967744
2023,11,0.5333333333333333
2023,12,0.0
2024,6,3.5625
2024,7,1.3774193611612902
2024,8,8.919354838709678
2024,9,2.853333334133333
2024,10,0.0
